id,textLength,patternLength,testType,found,iterations,timeNano,timeMillis
1,100,11,not_contains,false,6,1999600,2,000
2,199,9,contains,true,17,67300,0,067
3,298,15,not_contains,false,10,125700,0,126
4,397,17,not_contains,false,35,161000,0,161
5,496,19,not_contains,false,32,214700,0,215
6,595,21,contains,true,33,82900,0,083
7,694,31,contains,true,33,45900,0,046
8,793,34,contains,true,46,87400,0,087
9,892,127,contains,true,135,192700,0,193
10,991,36,contains,true,68,245100,0,245
11,1090,72,not_contains,false,83,435200,0,435
12,1189,74,contains,true,100,208200,0,208
13,1288,53,not_contains,false,108,519400,0,519
14,1387,173,contains,true,296,696200,0,696
15,1486,106,not_contains,false,110,593000,0,593
16,1585,121,contains,true,248,656900,0,657
17,1684,84,contains,true,170,619900,0,620
18,1783,99,contains,true,215,800800,0,801
19,1882,94,worst_case,true,280,165700,0,166
20,1981,70,worst_case,true,208,113800,0,114
21,2080,83,worst_case,true,247,131600,0,132
22,2179,167,worst_case,true,499,250500,0,251
23,2278,227,worst_case,true,679,324100,0,324
24,2377,108,not_contains,false,187,934100,0,934
25,2476,176,contains,true,231,307300,0,307
26,2575,286,worst_case,true,856,384800,0,385
27,2674,111,not_contains,false,161,931900,0,932
28,2773,396,worst_case,true,1186,523700,0,524
29,2872,179,contains,true,269,606900,0,607
30,2971,297,contains,true,513,945400,0,945
31,3070,153,worst_case,true,457,175700,0,176
32,3169,264,not_contains,false,244,1055400,1,055
33,3268,125,contains,true,375,998500,0,999
34,3367,481,not_contains,false,288,1088800,1,089
35,3466,133,not_contains,false,277,975200,0,975
36,3565,237,worst_case,true,709,247900,0,248
37,3664,126,not_contains,false,312,1003900,1,004
38,3763,418,contains,true,545,759000,0,759
39,3862,193,worst_case,true,577,206300,0,206
40,3961,136,worst_case,true,406,141700,0,142
41,4060,290,worst_case,true,868,306200,0,306
42,4159,244,worst_case,true,730,250500,0,251
43,4258,250,worst_case,true,748,244500,0,245
44,4357,396,not_contains,false,369,1223000,1,223
45,4456,171,worst_case,true,511,169800,0,170
46,4555,350,not_contains,false,380,1282300,1,282
47,4654,193,contains,true,232,244600,0,245
48,4753,679,not_contains,false,388,717600,0,718
49,4852,231,contains,true,351,343200,0,343
50,4951,206,not_contains,false,395,570000,0,570
51,5050,360,not_contains,false,462,552500,0,553
52,5149,257,not_contains,false,413,389100,0,389
53,5248,238,contains,true,332,111900,0,112
54,5347,445,worst_case,true,1333,108800,0,109
55,5446,320,not_contains,false,477,403800,0,404
56,5545,191,not_contains,false,450,393300,0,393
57,5644,313,not_contains,false,428,490400,0,490
58,5743,574,contains,true,999,457800,0,458
59,5842,389,worst_case,true,1165,103500,0,104
60,5941,457,contains,true,664,245400,0,245
61,6040,208,not_contains,false,475,437500,0,438
62,6139,255,worst_case,true,763,66500,0,067
63,6238,623,worst_case,true,1867,164500,0,165
64,6337,218,not_contains,false,553,467600,0,468
65,6436,229,worst_case,true,685,59700,0,060
66,6535,1307,not_contains,false,687,727400,0,727
67,6634,331,worst_case,true,991,85300,0,085
68,6733,292,contains,true,723,476500,0,477
69,6832,525,contains,true,811,388600,0,389
70,6931,239,worst_case,true,715,65700,0,066
71,7030,639,contains,true,1123,671900,0,672
72,7129,891,contains,true,1323,564500,0,565
73,7228,481,not_contains,false,659,633000,0,633
74,7327,666,not_contains,false,659,691200,0,691
75,7426,390,contains,true,799,598000,0,598
76,7525,301,not_contains,false,594,1096800,1,097
77,7624,693,not_contains,false,684,1151900,1,152
78,7723,643,not_contains,false,680,1192000,1,192
79,7822,434,worst_case,true,1300,34500,0,035
80,7921,440,worst_case,true,1318,44500,0,045
81,8020,381,worst_case,true,1141,21100,0,021
82,8119,427,worst_case,true,1279,22500,0,023
83,8218,304,worst_case,true,910,17300,0,017
84,8317,756,contains,true,853,55100,0,055
85,8416,350,worst_case,true,1048,20000,0,020
86,8515,327,worst_case,true,979,17900,0,018
87,8614,297,not_contains,false,633,162600,0,163
88,8713,670,contains,true,1000,92600,0,093
89,8812,314,not_contains,false,702,463400,0,463
90,8911,387,contains,true,544,56500,0,057
91,9010,1001,worst_case,true,3001,70700,0,071
92,9109,700,worst_case,true,2098,52500,0,053
93,9208,354,contains,true,871,145800,0,146
94,9307,423,contains,true,900,119600,0,120
95,9406,587,not_contains,false,747,192300,0,192
96,9505,380,worst_case,true,1138,179500,0,180
97,9604,457,worst_case,true,1369,35200,0,035
98,9703,1212,contains,true,1806,201500,0,202
99,9802,490,worst_case,true,1468,36100,0,036
100,9901,366,not_contains,false,790,190000,0,190
